Reference:	"Kofman et al. (2019)"
DOI:	"doi:https://doi.org/10.3847/1538-4357/ab0d89"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"90K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/206"
n₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	
0.2906	1.2845		
0.29	1.2847		
0.2895	1.2848		
0.2889	1.2849		
0.2884	1.2851		
0.2878	1.2852		
0.2872	1.2854		
0.2867	1.2855		
0.2861	1.2856		
0.2855	1.2858		
0.285	1.2859		
0.2844	1.2861		
0.2839	1.2862		
0.2833	1.2864		
0.2827	1.2865		
0.2822	1.2867		
0.2816	1.2868		
0.2811	1.287		
0.2805	1.2871		
0.2799	1.2873		
0.2794	1.2875		
0.2788	1.2876		
0.2782	1.2878		
0.2777	1.2879		
0.2771	1.2881		
0.2766	1.2883		
0.276	1.2884		
0.2754	1.2886		
0.2749	1.2888		
0.2743	1.2889		
0.2737	1.2891		
0.2732	1.2893		
0.2726	1.2894		
0.2721	1.2896		
0.2715	1.2898		
0.2709	1.29		
0.2704	1.2901		
0.2698	1.2903		
0.2693	1.2905		
0.2687	1.2907		
0.2681	1.2909		
0.2676	1.2911		
0.267	1.2912		
0.2664	1.2914		
0.2659	1.2916		
0.2653	1.2918		
0.2648	1.292		
0.2642	1.2922		
0.2636	1.2924		
0.2631	1.2926		
0.2625	1.2928		
0.2619	1.293		
0.2614	1.2932		
0.2608	1.2934		
0.2603	1.2936		
0.2597	1.2938		
0.2591	1.294		
0.2586	1.2942		
0.258	1.2945		
0.2575	1.2947		
0.2569	1.2949		
0.2563	1.2951		
0.2558	1.2953		
0.2552	1.2956		
0.2546	1.2958		
0.2541	1.296		
0.2535	1.2962		
0.253	1.2965		
0.2524	1.2967		
0.2518	1.297		
0.2513	1.2972		
0.2507	1.2974		
0.2501	1.2977		
0.2496	1.2979		
0.249	1.2982		
0.2485	1.2984		
0.2479	1.2987		
0.2473	1.2989		
0.2468	1.2992		
0.2462	1.2994		
0.2457	1.2997		
0.2451	1.3		
0.2445	1.3002		
0.244	1.3005		
0.2434	1.3008		
0.2428	1.3011		
0.2423	1.3013		
0.2417	1.3016		
0.2412	1.3019		
0.2406	1.3022		
0.24	1.3025		
0.2395	1.3028		
0.2389	1.3031		
0.2383	1.3034		
0.2378	1.3037		
0.2372	1.304		
0.2367	1.3043		
0.2361	1.3046		
0.2355	1.3049		
0.235	1.3052		
0.2344	1.3055		
0.2339	1.3059		
0.2333	1.3062		
0.2327	1.3065		
0.2322	1.3068		
0.2316	1.3072		
0.231	1.3075		
0.2305	1.3079		
0.2299	1.3082		
0.2294	1.3086		
0.2288	1.3089		
0.2282	1.3093		
0.2277	1.3097		
0.2271	1.31		
0.2265	1.3104		
0.226	1.3108		
0.2254	1.3112		
0.2249	1.3115		
0.2243	1.3119		
0.2237	1.3123		
0.2232	1.3127		
0.2226	1.3131		
0.2221	1.3135		
0.2215	1.3139		
0.2209	1.3144		
0.2204	1.3148		
0.2198	1.3152		
0.2192	1.3156		
0.2187	1.3161		
0.2181	1.3165		
0.2176	1.317		
0.217	1.3174		
0.2164	1.3179		
0.2159	1.3184		
0.2153	1.3188		
0.2147	1.3193		
0.2142	1.3198		
0.2136	1.3203		
0.2131	1.3208		
0.2125	1.3213		
0.2119	1.3218		
0.2114	1.3223		
0.2108	1.3228		
