Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH3 (1)"
Temperature:	"100K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/65"
A₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	
599.6425	-0.000467		
599.763	-0.000464		
599.8836	-0.000396		
600.0041	-0.000271		
600.1246	-0.000138		
600.2452	-5.7E-5		
600.3657	-7.9E-5		
600.4862	-0.000215		
600.6068	-0.000429		
600.7273	-0.00065		
600.8478	-0.000803		
600.9684	-0.000841		
601.0889	-0.000767		
601.2094	-0.000626		
601.33	-0.000485		
601.4505	-0.000393		
601.571	-0.000358		
601.6915	-0.000339		
601.8121	-0.000264		
601.9326	-6.6E-5		
602.0531	0.000287		
602.1737	0.00077		
602.2942	0.00131		
602.4147	0.00179		
602.5353	0.00212		
602.6558	0.00223		
602.7763	0.0021		
602.8969	0.00176		
603.0174	0.00127		
603.1379	0.000692		
603.2584	0.000113		
603.379	-0.000409		
603.4995	-0.000826		
603.62	-0.00111		
603.7406	-0.00124		
603.8611	-0.00124		
603.9816	-0.00114		
604.1022	-0.000992		
604.2227	-0.000854		
604.3432	-0.000766		
604.4638	-0.000738		
604.5843	-0.000752		
604.7048	-0.000763		
604.8254	-0.000726		
604.9459	-0.000617		
605.0664	-0.000444		
605.1869	-0.000254		
605.3075	-0.000114		
605.428	-8.6E-5		
605.5485	-0.000202		
605.6691	-0.000451		
605.7896	-0.000785		
605.9101	-0.00113		
606.0307	-0.00142		
606.1512	-0.00163		
606.2717	-0.00173		
606.3923	-0.00178		
606.5128	-0.0018		
606.6333	-0.00183		
606.7539	-0.0019		
606.8744	-0.002		
606.9949	-0.00209		
607.1154	-0.00215		
607.236	-0.00217		
607.3565	-0.00214		
607.477	-0.00208		
607.5976	-0.00201		
607.7181	-0.00194		
607.8386	-0.00188		
607.9592	-0.00182		
608.0797	-0.00174		
608.2002	-0.00165		
608.3208	-0.00157		
608.4413	-0.00152		
608.5618	-0.00153		
608.6824	-0.00163		
608.8029	-0.00179		
608.9234	-0.00197		
609.0439	-0.0021		
609.1645	-0.0021		
609.285	-0.00191		
609.4055	-0.0015		
609.5261	-0.000871		
609.6466	-8.0E-5		
609.7671	0.000792		
609.8877	0.00165		
610.0082	0.00241		
610.1287	0.00299		
610.2493	0.00332		
610.3698	0.00338		
610.4903	0.00317		
610.6109	0.00272		
610.7314	0.00208		
610.8519	0.00136		
610.9724	0.000654		
611.093	4.0E-5		
611.2135	-0.000425		
611.334	-0.000728		
611.4546	-0.000901		
611.5751	-0.001		
611.6956	-0.00111		
611.8162	-0.00127		
611.9367	-0.00152		
612.0572	-0.00185		
612.1778	-0.00223		
612.2983	-0.00261		
612.4188	-0.00294		
612.5393	-0.0032		
612.6599	-0.00335		
612.7804	-0.00338		
612.9009	-0.00327		
613.0215	-0.00303		
613.142	-0.00267		
613.2625	-0.00223		
613.3831	-0.00179		
613.5036	-0.00142		
613.6241	-0.0012		
613.7447	-0.00117		
613.8652	-0.00132		
613.9857	-0.0016		
614.1063	-0.00194		
614.2268	-0.00225		
614.3473	-0.00248		
614.4678	-0.00262		
614.5884	-0.00269		
614.7089	-0.00275		
614.8294	-0.00284		
614.95	-0.00298		
615.0705	-0.00316		
615.191	-0.00334		
615.3116	-0.00347		
615.4321	-0.00353		
615.5526	-0.00349		
615.6732	-0.00337		
615.7937	-0.0032		
615.9142	-0.00301		
616.0348	-0.00281		
616.1553	-0.00262		
616.2758	-0.00245		
616.3963	-0.00232		
616.5169	-0.00226		
616.6374	-0.00229		
616.7579	-0.00239		
616.8785	-0.00254		
616.999	-0.00267		
617.1195	-0.00271		
617.2401	-0.0026		
617.3606	-0.00234		
617.4811	-0.00197		
617.6017	-0.00158		
617.7222	-0.00129		
617.8427	-0.00118		
617.9633	-0.00127		
618.0838	-0.00154		
618.2043	-0.0019		
618.3248	-0.00226		
618.4454	-0.00254		
618.5659	-0.0027		
618.6864	-0.00276		
618.807	-0.00275		
618.9275	-0.00269		
619.048	-0.00263		
619.1686	-0.00256		
619.2891	-0.00249		
619.4096	-0.0024		
619.5302	-0.00232		
619.6507	-0.00225		
619.7712	-0.00222		
619.8918	-0.00223		
620.0123	-0.00224		
620.1328	-0.00223		
620.2533	-0.00216		
620.3739	-0.00199		
620.4944	-0.00174		
620.6149	-0.00146		
620.7355	-0.0012		
620.856	-0.00101		
620.9765	-0.000916		
621.0971	-0.000897		
621.2176	-0.000916		
621.3381	-0.000936		
621.4587	-0.000943		
621.5792	-0.000954		
621.6997	-0.00102		
621.8202	-0.00117		
621.9408	-0.00144		
622.0613	-0.00179		
622.1818	-0.00216		
622.3024	-0.00247		
622.4229	-0.00264		
622.5434	-0.00266		
622.664	-0.00254		
622.7845	-0.00238		
622.905	-0.00225		
623.0256	-0.00224		
623.1461	-0.00236		
623.2666	-0.00259		
623.3872	-0.00287		
623.5077	-0.00313		
623.6282	-0.00332		
623.7487	-0.00343		
623.8693	-0.00348		
623.9898	-0.00351		
624.1103	-0.00356		
624.2309	-0.00364		
624.3514	-0.00374		
624.4719	-0.00382		
624.5925	-0.00386		
624.713	-0.00382		
624.8335	-0.0037		
624.9541	-0.00351		
625.0746	-0.00328		
625.1951	-0.00302		
625.3157	-0.00278		
625.4362	-0.00257		
625.5567	-0.0024		
625.6772	-0.00227		
625.7978	-0.00221		
625.9183	-0.00223		
626.0388	-0.00233		
626.1594	-0.00251		
626.2799	-0.00276		
626.4004	-0.00306		
626.521	-0.00337		
626.6415	-0.00366		
626.762	-0.00393		
626.8826	-0.00414		
627.0031	-0.0043		
627.1236	-0.00438		
627.2442	-0.00438		
627.3647	-0.0043		
627.4852	-0.00415		
627.6057	-0.00396		
627.7263	-0.00377		
627.8468	-0.00362		
627.9673	-0.00356		
628.0879	-0.00359		
628.2084	-0.00372		
628.3289	-0.00391		
628.4495	-0.00409		
628.57	-0.00422		
628.6905	-0.00426		
628.8111	-0.00421		
628.9316	-0.00408		
629.0521	-0.00391		
629.1727	-0.00372		
629.2932	-0.00352		
629.4137	-0.0033		
629.5342	-0.00304		
629.6548	-0.00273		
629.7753	-0.00235		
629.8958	-0.00195		
630.0164	-0.00156		
630.1369	-0.00124		
630.2574	-0.00105		
630.378	-0.001		
630.4985	-0.00108		
630.619	-0.00128		
630.7396	-0.00154		
630.8601	-0.00183		
630.9806	-0.00213		
631.1011	-0.00241		
631.2217	-0.00267		
631.3422	-0.0029		
631.4627	-0.00307		
631.5833	-0.00317		
631.7038	-0.00321		
631.8243	-0.00319		
631.9449	-0.00315		
632.0654	-0.00313		
632.1859	-0.00315		
632.3065	-0.00324		
632.427	-0.00337		
632.5475	-0.0035		
632.6681	-0.00359		
632.7886	-0.00361		
632.9091	-0.00356		
633.0296	-0.00346		
633.1502	-0.00335		
633.2707	-0.00326		
633.3912	-0.00319		
633.5118	-0.00314		
633.6323	-0.00307		
633.7528	-0.00295		
633.8734	-0.00278		
633.9939	-0.00258		
634.1144	-0.0024		
634.235	-0.0023		
634.3555	-0.00232		
634.476	-0.00244		
634.5966	-0.00266		
634.7171	-0.00292		
634.8376	-0.00317		
634.9581	-0.0034		
635.0787	-0.0036		
635.1992	-0.00378		
635.3197	-0.00395		
635.4403	-0.00412		
635.5608	-0.00425		
635.6813	-0.00432		
635.8019	-0.00429		
635.9224	-0.00418		
636.0429	-0.004		
636.1635	-0.00379		
636.284	-0.00361		
636.4045	-0.00349		
636.5251	-0.00345		
636.6456	-0.00346		
636.7661	-0.00351		
636.8866	-0.00357		
637.0072	-0.00363		
637.1277	-0.00371		
637.2482	-0.00381		
637.3688	-0.00393		
637.4893	-0.00405		
637.6098	-0.00412		
