Reference:	"Gerakines et al. (2024)"
DOI:	"doi:https://doi.org/10.1016/j.icarus.2024.116007"
Sample Type:	"Ice"
Composition:	"NH4CN (1)"
Temperature:	"125K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/70"
A₁ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.11 μm
A₁ Error Units:	Not Applicable
A₂ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.22 μm
A₂ Error Units:	Not Applicable
A₃ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.43 μm
A₃ Error Units:	Not Applicable
A₄ Caption:	Absorption spectrum of NH4CN ice with a thickness of 0.86 μm
A₄ Error Units:	Not Applicable
A₅ Caption:	Absorption spectrum of NH4CN ice with a thickness of 1.73 μm
A₅ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"A₁"	"DA₁  (+/-)"	"A₂"	"DA₂  (+/-)"	"A₃"	"DA₃  (+/-)"	"A₄"	"DA₄  (+/-)"	"A₅"	"DA₅  (+/-)"	
2436.899	0.00141		-0.00132		0.00711		0.01066		0.01603		
2437.0196	0.0014		-0.00131		0.00711		0.01067		0.01604		
2437.1401	0.00139		-0.0013		0.00712		0.01068		0.01606		
2437.2606	0.00138		-0.0013		0.00713		0.01069		0.01607		
2437.3812	0.00137		-0.0013		0.00714		0.0107		0.0161		
2437.5017	0.00137		-0.0013		0.00715		0.01071		0.01613		
2437.6222	0.00136		-0.0013		0.00717		0.01072		0.01617		
2437.7428	0.00136		-0.00129		0.00719		0.01074		0.0162		
2437.8633	0.00137		-0.00128		0.00721		0.01076		0.01624		
2437.9838	0.00137		-0.00128		0.00722		0.01077		0.01627		
2438.1044	0.00136		-0.00127		0.00722		0.01077		0.01629		
2438.2249	0.00136		-0.00127		0.00721		0.01077		0.01629		
2438.3454	0.00135		-0.00126		0.0072		0.01077		0.01629		
2438.466	0.00134		-0.00126		0.00718		0.01078		0.01629		
2438.5865	0.00133		-0.00126		0.00717		0.01079		0.01629		
2438.707	0.00133		-0.00125		0.00717		0.0108		0.01628		
2438.8275	0.00133		-0.00125		0.00717		0.01081		0.01629		
2438.9481	0.00135		-0.00125		0.00718		0.01083		0.01629		
2439.0686	0.00137		-0.00124		0.0072		0.01084		0.0163		
2439.1891	0.00139		-0.00124		0.00722		0.01085		0.01631		
2439.3097	0.00141		-0.00125		0.00724		0.01086		0.01632		
2439.4302	0.00143		-0.00125		0.00725		0.01087		0.01633		
2439.5507	0.00144		-0.00126		0.00726		0.01088		0.01635		
2439.6713	0.00144		-0.00127		0.00727		0.01088		0.01637		
